Method,Distribution,Cov,Avg Width,Avg Miscov,Avg Regret,D
SplitConformal,gradual,0.826,153.1,0.102,0.0045,0.001
NExConformal,gradual,0.895,159.7,0.041,0.0012,0.001
FACI,gradual,0.896,160.3,0.042,0.0012,0.001
ScaleFreeOGD,gradual,0.024,1.0,0.876,0.6191,0.001
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,0.001
FACI_S,gradual,0.898,160.6,0.038,0.0013,0.001
SAOCP,gradual,0.359,52.5,0.542,0.1516,0.001
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,0.001
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022,0.001
SplitConformal,gradual,0.826,153.1,0.102,0.0045,0.01
NExConformal,gradual,0.895,159.7,0.041,0.0012,0.01
FACI,gradual,0.896,160.3,0.042,0.0012,0.01
ScaleFreeOGD,gradual,0.294,36.5,0.610,0.1824,0.01
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,0.01
FACI_S,gradual,0.898,160.6,0.038,0.0013,0.01
SAOCP,gradual,0.740,129.7,0.171,0.0146,0.01
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,0.01
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022,0.01
SplitConformal,gradual,0.826,153.1,0.102,0.0045,0.1
NExConformal,gradual,0.895,159.7,0.041,0.0012,0.1
FACI,gradual,0.896,160.3,0.042,0.0012,0.1
ScaleFreeOGD,gradual,0.892,163.4,0.055,0.0022,0.1
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,0.1
FACI_S,gradual,0.898,160.6,0.038,0.0013,0.1
SAOCP,gradual,0.872,154.6,0.046,0.0017,0.1
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,0.1
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022,0.1
SplitConformal,gradual,0.826,153.1,0.102,0.0045,1
NExConformal,gradual,0.895,159.7,0.041,0.0012,1
FACI,gradual,0.896,160.3,0.042,0.0012,1
ScaleFreeOGD,gradual,0.900,160.5,0.025,0.0018,1
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,1
FACI_S,gradual,0.898,160.6,0.038,0.0013,1
SAOCP,gradual,0.881,158.0,0.035,0.0025,1
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,1
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022,1
SplitConformal,gradual,0.826,153.1,0.102,0.0045,10
NExConformal,gradual,0.895,159.7,0.041,0.0012,10
FACI,gradual,0.896,160.3,0.042,0.0012,10
ScaleFreeOGD,gradual,0.900,165.2,0.009,0.0135,10
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,10
FACI_S,gradual,0.898,160.6,0.038,0.0013,10
SAOCP,gradual,0.911,168.4,0.030,0.0135,10
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,10
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022,10
SplitConformal,gradual,0.826,153.1,0.102,0.0045,100
NExConformal,gradual,0.895,159.7,0.041,0.0012,100
FACI,gradual,0.896,160.3,0.042,0.0012,100
ScaleFreeOGD,gradual,0.900,175.3,0.004,0.1540,100
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,100
FACI_S,gradual,0.898,160.6,0.038,0.0013,100
SAOCP,gradual,0.938,184.3,0.039,0.1624,100
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,100
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022,100
SplitConformal,gradual,0.826,153.1,0.102,0.0045,1000
NExConformal,gradual,0.895,159.7,0.041,0.0012,1000
FACI,gradual,0.896,160.3,0.042,0.0012,1000
ScaleFreeOGD,gradual,0.900,179.8,0.003,1.6765,1000
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,1000
FACI_S,gradual,0.898,160.6,0.038,0.0013,1000
SAOCP,gradual,0.982,196.7,0.083,1.9299,1000
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,1000
